id,Source,Target,Date
47,Silas Deane,Mrs. Deane,1774-09-17
48,John Adams,Mrs. Adams,1774-09-18
49,John Adams,Mrs. Adams,1774-09-18
50,George Read,Mrs. Read,1774-09-18
51,Samuel Ward,Diary,1774-09-19
52,Silas Deane,Mrs. Deane,1774-09-19
53,Caesar Rodney,Thomas Rodney,1774-09-19
54,Samuel Adams,Charles Chauncy,1774-09-19
55,Richard Henry Lee,William Lee,1774-09-20
56,Samuel Ward,Diary,1774-09-20
57,John Adams,Diary,1774-09-21
58,James Duane,Propositions before Committee on Rights,1774-22-38
59,John Rutledge,Resolution proposed in Committee on Rights,1774-22-44
60,Samuel Ward,Diary,1774-09-23
61,Silas Deane,Mrs. Deane,1774-09-23
62,Samuel Ward,Diary,1774-09-24
63,Samuel Adams,Joseph Warren,1774-09-25
64,John Adams,Mrs. Adams,1774-09-25
65,Samuel Ward,Diary,1774-09-26
66,John Adams,Joseph Palmer,1774-09-26
67,John Adams,Notes of Debates,1774-09-26
68,Samuel Ward,Diary,1774-09-28
69,John Adams,Notes of Debates,1774-09-28
70,Joseph Galloway,Statement,1774-09-28
71,Joseph Galloway,Statement relative to his plan of Union,1774-09-28
72,Joseph Galloway,Statement relative to his plan of Union,1774-09-28
73,Samuel Ward,Diary,1774-09-29
74,John Adams,William Tudor,1774-09-29
75,John Adams,Mrs. Adams,1774-09-29
76,James Duane,Proposed Resolve,1774-10-03
77,Samuel Ward,Joseph Wanton,1774-10-03
78,Thomas Cushing,Mrs. Cushing,1774-10-04
79,Samuel Ward,Diary,1774-10-04
80,John Adams,Diary,1774-10-04
81,John Sullivan,John Langdon,1774-10-05
82,John Adams,Notes of Debates,1774-10-06
83,Samuel Ward,Diary,1774-10-06
84,Samuel Ward,Diary,1774-10-07
85,John Adams,William Tudor,1774-10-07
86,John Adams,Mrs. Adams,1774-10-07
87,Samuel Ward,Diary,1774-10-08
88,Joseph Galloway,Statement to a Committee of House of Commons,1774-10-08
89,John Adams,Mrs. Adams,1774-10-09
90,Joseph Galloway,Statement to a Committee of House of Commons,1774-10-10
91,John Adams,Diary,1774-10-10
92,Samuel Adams,General Gage,1774-10-10
93,Connecticut Delegates,Jonathan Trumbull sr.,1774-10-10
94,Samuel Ward,Diary,1774-10-11
95,John Adams,Diary,1774-10-11
96,Samuel Ward,Diary,1774-10-12
97,James Duane,Notes of Debates,1774-10-12
98,James Duane,Notes of I debates,1774-10-13
99,Samuel Ward,Diary,1774-10-13
100,John Adams,Diary,1774-10-13
101,James Duane,Notes of Debates,1774-10-14
102,Joseph Galloway,Statement to a Committee of House of Commons,1774-10-14
103,John Adams,Diary,1774-10-16
104,George Read,Mrs. Read,1774-10-16
105,James Duane,Notes of Debates,1774-10-17
106,Samuel Ward,Diary,1774-10-18  
107,John Adams,Diary,1774-10-20
108,Samuel Ward,Diary,1774-10-21
109,Joseph Galloway,Statement to a Committee of House of Commons,1774-10-24
110,Samuel Ward,Diary,1774-10-22
111,Silas Deane,Jonathan Trumbull sr.,1774-10-22
112,John Adams,Diary,1774-10-24
113,George Read,Mrs. Read,1774-10-24
114,Samuel Ward,Diary,1774-10-25
115,John Adams,Diary,1774-10-25
116,Samuel Ward,Diary,1774-10-26
117,John Dickinson,Arthur Lee,1774-10-27
118,Joseph Hewes,James Iredell,1774-10-31
119,Edward Rutledge,Thomas Bee,1774-10-84
120, New York Delegates, Chairman and Freeholders of Dutchess County,1774-11-07
121,South Carolina Delegates,Report to Provincial Congress,1774-11-07
122,John Adams,Edward Biddle,1774-12-12
123,James Duane,Samuel Chase,1774-12-29
124,Richard Henry Lee,William Lee,1775-05-10
125,Caesar Rodney,Thomas Rodney,1775-05-11
126,Silas Deane,Mrs. Deane,1775-05-12
127,Samuel Ward,Diary,1775-05-15
128,New York Delegates, New York Committee of Safety,1775-05-16
129,New York Delegates, Committee for City and County of Albany,1775-05-18
130,George Read,Mrs. Read,1775-05-18
131,Eliphalet Dyer,Joseph Trumbull,1775-05-18
132,Silas Deane,Jonathan Trumbull sr.,1775-05-19
133,Silas Deane,Mrs. Deane,1775-05-21
134,John Adams,James Warren,1775-05-21
135,James Wilson,John Montgomery,1775-05-22
136,New Hampshire Delegates, New Hampshire Provincial Committee,1775-05-22
137,William Hooper,Samuel Johnston,1775-05-23
138,Joseph Hewes,Samuel Johnston,1775-05-23
139,George Read,Mrs. Read,1775-05-23
140,Samuel Ward,Diary,1775-05-24
141,James Duane,Notes on State of Colonies,1775-05-25
142,New Hampshire Delegates,a Committee of Congress,1775-05-27
143,John Adams,Mrs. Adams,1775-05-29
144,Edmund Pendleton,William Woodford,1775-05-30
145,New York Delegates, Provincial Congress,1775-05-30
146,George Ross, Lancaster Committee of Correspondence,1775-05-30
147,Connecticut Delegates,William Williams,1775-05-31
148,Benjamin Franklin,Proposed Resolutions,1775-05-10
149,Silas Deane,Mrs. Deane,1775-06-02
150,John Adams,Mrs. Adams,1775-06-02
151,Samuel Ward,Diary,1775-06-03
152,Eliphalet Dyer,Joseph Trumbull,1775-06-03
153,New York Delegates, Provincial Congress,1775-06-03
154,Silas Deane,Mrs. Deane,1775-06-03
155,Joseph Hewes,Samuel Johnston,1775-06-05
156,Silas Deane,Mrs. Deane,1775-06-06
157,John Adams,James Warren,1775-06-07
158,John Morton,Thomas Powell,1775-06-08
159,Eliphalet Dyer,Joseph Trumbull,1775-06-08
160,John Hancock, Massachusetts Provincial Congress,1775-06-10
161,John Adams,Mrs. Adams,1775-06-10
162,John Adams,Moses Gill,1775-06-10
163,Thomas Cushing,Joseph Hawley,1775-06-10
164,Thomas Cushing,Elbridge Gerry,1775-06-10
165,John Hancock, New York Provincial Congress,1775-06-10
166,John Hancock,Jonathan Trumbull sr.,1775-06-10
167,John Hancock, Massachusetts Provincial Congress,1775-06-10
168,Samuel Adams,James Warren,1775-06-10
169,New York Delegates, Provincial Congress,1775-06-10
170,George Clinton,John McKesson,1775-06-10
171,Connecticut Delegates,Jonathan Trumbull sr.,1775-06-12
172,Samuel Ward,Diary,1775-06-12
173,One of Virginia Delegates,unknown,1775-06-13
174,One of Virginia Delegates,unknown,1775-06-14
175,George Clinton,John McKesson,1775-06-15
176,Pennsylvania Delegates, Committee of Correspondence of Cumberland County,1775-06-15
177,Silas Deane,Mrs. Deane,1775-06-16
178,Eliphalet Dyer,Jonathan Trumbull sr.,1775-06-18
179,Eliphalet Dyer,Joseph Trumbull,1775-06-17
180,James Duane, New York Provincial Congress,1775-06-17
181,John Adams,Mrs. Adams,1775-06-17
182,John Adams,Mrs. Adams,1775-06-18
183,Silas Deane,Mrs. Deane,1775-06-18
184,Silas Deane,Joseph Trumbull,1775-06-18
185,John Hancock,Joseph Warren,1775-06-18
186,John Hancock,Elbridge Gerry,1775-06-18
187,John Adams,Elbridge Gerry,1775-06-18
188,John Adams,James Warren,1775-06-20
189,Eliphalet Dyer,Joseph Trumbull,1775-06-20
190,Eliphalet Dyer,Jonathan Trumbull sr.,1775-06-20
191,George Washington,John 08ustine Washington,1775-06-20
192,New Hampshire Delegates,Matw Thornton,1775-06-20
193,193- John Adams,Joseph Palmer,1775-06-20
194,Caesar Rodney,Thomas Rodney,1775-06-20
195,John Adams,Joseph Warren,1775-06-21
196,John Hancock,Artemas Ward,1775-06-22
197,John Adams,Mrs. Adams,1775-06-23
198,Roger Sherman,David Wooster,1775-06-23
199,John Hancock, New York Provincial Congress,1775-06-24
200,Connecticut Delegates,Jonathan Trumbull sr.,1775-06-26
201,John Adams,James Warren,1775-06-27
202,John Hancock, New York Provincial Congress,1775-06-27
203,John Hancock,George Washington,1775-06-28
204,Richard Henry Lee,George Washington,1775-06-29
205,New York Delegates, Provincial Congress,1775-06-30
206,One of Virginia Delegates,unknown,1775-06-30
207,South Carolina Delegates, Secret Committee at Charleston,1775-07-01
208,John Hancock,Philip Schuyler,1775-07-01
209,John Langdon,Matw Thornton,1775-07-03
210,Committee of Philadelphia, New York Provincial Congress,1775-07-04
211,One of Virginia Delegates,unknown,1775-07-05
212,John Adams,James Warren,1775-07-06
213,John Adams,James Warren,1775-07-06
214,Silas Deane,Titus Hosmer,1775-07-06
215,Roger Sherman,Joseph Trumhull,1775-07-06
216,New York Delegates, Provincial Congress,1775-07-06
217,Benjamin Franklin,Joseph Priestley,1775-07-07
218,John Dickinson,Arthur Lee,1775-07-07
219,Joseph Hewes,James Iredell,1775-07-08
220,Joseph Hewes,Samuel Johnston,1775-07-08
221,Samuel Chase,Philip Schuyler,1775-07-10
222,John Hancock,George Washington,1775-07-10
223,John Adams,James Warren,1775-07-10
224,John Adams,James Warren,1775-07-11
225,Pennsylvania Delegates, Lancaster County Committee,1775-07-11
226,Continental Congress,Minute,1775-07-13
227,George Read,Mrs. Read,1775-07-13
228,Silas Deane,Mrs. Deane,1775-07-15
229,Maryland Delegates, Committee of Baltimore,1775-07-18
230,New York Delegates, Committee of Safety,1775-07-18
231,Eliphalet Dyer,Joseph Trumbull,1775-07-18
232,Silas Deane,Mrs. Deane,1775-07-20
233,Silas Deane,Joseph Trumbull,1775-07-21
234,Eliphalet Dyer,Joseph Trumbull,1775-07-21
235,Silas Deane,Gurdon Saltonstall,1775-07-21
236,Benjamin Harrison,George Washington,1775-07-21
237,James Duane,Robert Montgomery,1775-07-21
238,Thomas Johnson,Note on Franklin's Articles of Confederation,1775-07-21
239,Silas Deane,Mrs. Deane,1775-07-23
240,Eliphalet Dyer,William Judd,1775-07-23
241,John Adams,James Warren,1775-07-23
242,John Adams,Mrs. Adams,1775-07-23
243,Thomas Cushing,Joseph Hawley,1775-07-24
244,John Adams,James Warren,1775-07-24
245,Samuel Adams,James Warren,1775-07-24
246,John Adams,James Warren,1775-07-26
247,John Adams,James Warren,1775-07-27
248,Roger Sherman,William Williams,1775-07-28
249,Connecticut Delegates,Jonathan Trumbull sr.,1775-07-28
250,Eliphalet Dyer,Joseph Trumbull,1775-07-28
251,New York Delegates, Committee of Safety,07 .28 1775
252,John Adams,Josiah Quincy,1775-07-29
253,John Adams,Mrs. Adams,1775-07-30
254,John Adams,James Warren,1775-07-30
255,Samuel Adams,Mrs. Adams,1775-07-30
256,Benjamin Franklin,Proposed Resolution,07 184 1775
257,Richard Henry Lee,George Washington,1775-08-01
258,Connecticut Delegates,Zebulon Butler and Ors,1775-08-02
259,Francis Lewis,Philip Schuyler,1775-08-02
260,James Duane,Philip Schuyler,1775-08-04
261,James Duane,Jonathan Trumbull jr.,1775-08-04
262,James Duane,Oliver Wolcott,1775-08-07
263,Samuel Chase,Philip Schuyler,1775-08-10
264,John Hancock,Joseph Reed,1775-08-15
265,Thomas Johnson jr.,Horatio Gates,1775-08-18
266,Member of Congress,a Gentleman in London,1775-08-26
267,Silas Deane,Jonathan Trumbull jr.,1775-09-10
268,Samuel Ward,Diary,1775-09-11
269,Richard Smith,Diary,1775-09-12
270,Samuel Ward,Diary,1775-09-12
271,Richard Smith,Diary,1775-09-13
272,Samuel Ward,Diary,1775-09-13
273,Richard Smith,Diary,1775-09-14
274,Samuel Ward,Diary,1775-09-14
275,John Adams,Diary,1775-09-15
276,Richard Smith,Diary,1775-09-15
277,Samuel Ward,Diary,1775-09-15
278,Eliphalet Dyer,Joseph Trumbull,1775-09-15
279,George Ross,James Wilson,1775-09-15
280,John Adams,Diary,1775-09-16
281,Richard Smith,Diary,1775-09-16
282,Samuel Ward,Diary,1775-09-16
283,Silas Deane,Joseph Trumbull,1775-09-17
284,Richard Smith,Diary,1775-09-18
285,Samuel Ward,Diary,1775-09-18
286,John Adams,Diary,1775-09-18
287,Richard Smith,Diary,1775-09-19
288,John Adams,James Warren,1775-09-19
289,Richard Smith,Diary,1775-09-20
290,New York Delegates, Committee of Safety,1775-09-20
291,John Hancock,David Wooster,1775-09-20
292,John Hancock,Philip Schuyler,1775-09-20
293,New Hampshire Delegates, Committee of Safety,1775-09-20
294,Richard Smith,Diary,1775-09-21
295,Silas Deane,Mrs. Deane,1775-09-22
296,John Adams,Diary,1775-09-22
297,Samuel Ward,Diary,1775-09-23
298,Richard Smith,Diary,1775-09-25
299,Samuel Ward,Diary,1775-09-25
300,Eliphalet Dyer,Joseph Trumbull,1775-09-25
301,Richard Smith,Diary,1775-09-26
302,Samuel Adams,Elbridge Gerry,1775-09-26
303,John Hancock,George Washington,1775-09-26
304,Richard Smith,Diary,1775-09-28
305,Richard Smith,Diary,1775-09-28
306,John Adams,Diary,1775-09-28
307,Richard Smith,Diary,1775-09-29
308,Richard Smith,Diary,1775-09-30
309,John Hancock,George Washington,1775-09-30
310,Eliphalet Dyer,Joseph Trumbull,1775-10-02
311,New Hampshire Delegates,Matw Thornton,1775-10-02
312,John Adams,James Warren,1775-10-02
313,Samuel Adams,James Warren,1775-10-03
314,Samuel Ward,Diary,1775-10-04
315,James Duane,Notes of Debates,1775-10-05
316,Samuel Ward,Diary,1775-10-05
317,John Adams,William Heath,1775-10-05
318,John Adams,James Warren,1775-10-07
319,Samuel Ward,Diary,1775-10-09
320,New York Delegates, New York Convention,1775-10-09
321,John Hancock, New York Convention,1775-10-09
322,John Hancock,Philip Schuyler,1775-10-09
323,New Jersey Delegates,Samuel Tucker,1775-10-09
324,John Hancock,David Wooster,1775-10-09
325,John Adams,Mrs. Adams,1775-10-10
326,Samuel Ward,Diary,1775-10-11
327,Samuel Ward,Henry Ward,1775-10-11
328,John Hancock,Philip Schuyler,1775-10-11
329,Silas Deane,Thomas Mumford,1775-10-15
330,Samuel Ward,Diary,1775-10-16
331,Connecticut Delegates,Proposed Resolution,1775-10-23
332,Silas Deane,Mrs. Deane,1775-10-17
333,Samuel Ward,Diary,1775-10-18
334,John Adams,James Warren,1775-10-18
335,335- John Adams,James Warren,1775-10-19
336,John Adams,James Warren,1775-10-19
337,John Adams,James Warren,1775-10-19
338,John Adams,Joseph Palmer,1775-10-19
339,John Adams,Mrs. Adams,1775-10-19
340,Samuel Ward,Diary,1775-10-20
341,Samuel Adams,William Heath,1775-10-20
342,John Adams,James Warren,1775-10-20
343,Samuel Ward,Henry Ward,1775-10-24
344,John Hancock, New Jersey Provincial Convention,1775-10-25
345,New Hampshire Delegates, Committee of Safety,1775-10-26
346,Francis Lewis,Jabez Huntington,1775-10-27
347,John Hancock, President of New York Congress,1775-10-28
348,John Adams,James Warren,1775-10-28
349,Samuel Adams,Elbridge Gerry,1775-10-29
350,Samuel Ward,Diary,1775-10-31
351,Samuel Ward,Diary,1775-11-02
352,New Hampshire Delegates,Matw Thornton,1775-11-03
353,Samuel Adams,James Warren,1775-11-04
354,John Adams,Elbridge Gerry,1775-11-05
355,William Livingston,Lord Stirling,1775-11-08
356,New York Delegates, Provincial Congress,1775-11-09
357,Joseph Hewes,Samuel Johnston,1775-11-09
358,Samuel Ward,Henry Ward,1775-11-01
359,John Adams,Henry Knox,1775-11-11
360,Thomas Lynch,George Washington,1775-11-13
361,Richard Henry Lee,George Washington,1775-11-13
362,Josiah Bartlett, New Hampshire Committee of Safety,1775-11-13
363,John Adams,Samuel Osgood,1775-11-15
364,Samuel Ward,Henry Ward,1775-11-16
365,Samuel Ward,Henry Ward,1775-11-21
366,Samuel Adams,James Otis,1775-11-23
367,John Adams,James Otis,1775-11-23
368,John Hancock, Massachusetts Council,1775-11-25
369,Thomas Cushing, Massachusetts Council,1775-11-25
370,John Adams,Joseph Hawley,1775-11-25
371,John Adams,Mercy Warren,1775-11-25
372,Joseph Hewes,Samuel Johnston,1775-11-26
373,James Duane, New York Convention,1775-11-28
374,John Hancock, Massachusetts Council,1775-11-26
375,Thomas Cushing, Massachusetts Council,1775-11-26
376,John Hancock,Philip Schuyler,1775-11-30
377,John Hancock,Richard Montgomery,1775-11-30
378,John Hancock,David Wooster,1775-11-30
379,Committee of Secret Correspondence,Arthur Lee,1775-11-30
380,Joseph Hewes,Samuel Johnston,1775-12-01
381,John Hancock,George Washington,1775-12-02
382,John Hancock,Jonathan Trumbull sr.,1775-12-02
383,Samuel Ward,Henry Ward,1775-12-03
384,John Adams,Mrs. Adams,1775-12-03
385,John Adams,James Warren,1775-12-03
386,Samuel Adams,James Warren,1775-12-05
387,John Hancock,George Washington,1775-12-08
388,Robert Morris,unknown,1775-12-09
389,William Livingston,Lord Stirling,1775-12-09
390,John Adams,Diary,1775-12-09
391,Thomas Jefferson,John Page,1775-12-10
392,Francis Lightfoot Lee,Landon Carter,1775-12-12
393,Committee of Secret Correspondence,Arthur Lee,1775-12-12
394,Richard Smith,Diary,1775-12-13
395,Richard Smith,Diary,1775-12-14
396,Richard Smith,Diary,1775-12-15
397,Silas Deane,Mrs. Deane,1775-12-15
398,George Read,Airs. Read,1775-12-15
399,Richard Smith,Diary,1775-12-16
400,Eliphalet Dyer,Joseph Trumbull,1775-12-16
401,Richard Smith,Diary,1775-12-18
402,Richard Smith,Diary,1775-12-19
403,William Livingston,Lord Stirling,1775-12-19
404,Richard Smith,Diary,1775-12-20
405,James Duane,Robert R. Livingston,1775-12-20
406,Josiah Bartlett, New Hampshire Committee of Safety,1775-12-21
407,Richard Smith,Diary,1775-12-21
408,Samuel Adams,John Adams,1775-12-22
409,Richard Smith,Diary,1775-12-22
410,John Hancock,George Washington,1775-12-22
411,Richard Smith,Diary,1775-12-23
412,Eliphalet Dyer,Joseph Trumbull,1775-12-26
413,Richard Smith,Diary,1775-12-26
414,Richard Smith,Diary,1775-12-27
415,Richard Smith,Diary,1775-12-28
416,Richard Smith,Diary,1775-12-29
417,Richard Smith,Diary,1775-12-30
418,Massachusetts Delegates, Massachusetts Assembly,1776-01-01
419,Eliphalet Dyer,Joseph Trumbull,1776-01-01
420,Richard Smith,Diary,1776-01-01
421,Richard Smith,Diary,1776-01-02
422,Richard Smith,Diary,1776-01-03
423,Richard Smith,Diary,1776-01-04
424,Joseph Hewes,Samuel Johnston,1776-01-04
425,Richard Smith,Samuel Tucker,1776-01-04
426,Richard Smith,Diary,1776-01-05
427,New York Delegates, New York Committee of Safety,1776-01-05
428,John Hancock,George Washington,1776-01-06
429,Richard Smith,Diary,1776-01-06
430,Joseph Hewes,Samuel Johnston,1776-01-06
431,Samuel Ward,Nicholas Cooke,1776-01-07
432,Samuel Adams,James Warren,1776-01-07
433,Richard Smith,Diary,1776-01-08
434,Josiah Bartlett,John Langdon,1776-01-08
435,Richard Smith,Diary,1776-01-09
436,Josiah Bartlett, New Hampshire Convention or Committee of Safety,1776-01-09
437,Samuel Adams,James Warren,1776-01-10
438,John Hancock,Philip Schuyler,1776-01-10
439,Richard Smith,Diary,1776-01-10
440,Richard Smith,Diary,1776-01-11
441,New York Delegates, New York Committee of Safety,1776-01-11
442,John Hancock, New York Convention,1776-01-12
443,Richard Smith,Diary,1776-01-12
444,Silas Deane,Mrs. Deane,1776-01-13
445,Richard Smith,Diary,1776-01-13
446,Richard Smith,Diary,1776-01-15
447,Samuel Adams,John Adams,1776-01-15
448,Eliphalet Dyer,Joseph Trumbull,1776-01-15
449,Richard Smith,Diary,1776-01-16
450,Thomas Lynch,George Washington,1776-01-16
451,John Hancock,George Washington,1776-01-16
452,Oliver Wolcott,Mrs. Wolcott,1776-01-17
453,Richard Smith,Diary,1776-01-17
454,Andrew Allen, Chairman of Pennsylvania Committee of Safety,1776-01-18
455,Richard Smith,Diary,1776-01-18
456,Richard Smith,Diary,1776-01-19
457,Thomas McKean,George Read,1776-01-19
458,Roger Sherman,Zebulon Butler,1776-01-19
459,Josiah Bartlett, New Hampshire Committee of Safety,1776-01-20
460,John Hancock,Philip Schuyler,1776-01-20
461,Thomas Lynch,Philip Schuyler,1776-01-20
462,Richard Smith,Diary,1776-01-20
463,John Hancock,George Washington,1776-01-20
464,John Hancock, New Hampshire Convention,1776-01-20
465,Silas Deane,Mrs. Deane,1776-01-21
466,Oliver Wolcott,Philip Schuyler,1776-01-22
467,Richard Smith,Diary,1776-01-24
468,Richard Smith,Diary,1776-01-25
469,John Hancock,William Maxwell,1776-01-25
470,Committee of Congress,Report on Memorial for General Montgomery,1776-01-25
471,Richard Smith,Diary,1776-01-26
472,William Livingston,Samuel Tucker,1776-01-27
473,New York Delegates, New York Committee of Safety,1776-01-27
474,Richard Smith,Diary,1776-01-27
475,John Hancock,George Washington,1776-01-29
476,Richard Smith,Diary,1776-01-29
477,John Hancock, Massachusetts Assembly,1776-01-29
478,Joseph Hewes,Samuel Purviance,1776-01-29
479,Robert Alexander, Maryland Council of Safety,1776-01-30
480,Richard Smith,Diary,1776-01-30
481,Thomas McKean,Philip Schuyler,1776-01-30
482,Richard Smith,Diary,1776-01-31
483,Richard Smith,Diary,1776-02-01
484,Richard Smith,Diary,1776-02-02
485,Maryland Delegates, Maryland Council of Safety,1776-02-02
486,Oliver Wolcott,Samuel Lyman,1776-02-03
487,Thomas Nelson jr.,Thomas Jefferson,1776-02-04
488,Richard Smith,Diary,1776-02-05
489,Richard Smith,Diary,1776-02-06
490,Richard Smith,Diary,1776-02-07
491,Richard Smith,Diary,1776-02-08
492,Richard Smith,Diary,1776-02-09
493,Abraham Clark,Elias Dayton,1776-02-09
494,Oliver Wolcott,Ezekiel Williams,1776-02-10
495,New York Delegates, New York Committee of Safety,1776-02-11
496,Joseph Hewes,Samuel Johnston,1776-02-11
497,John Hancock,George Washington,1776-02-12
498,Francis Lightfoot Lee,Landon Carter,1776-02-12
499,Richard Smith,Diary,1776-02-12
500,Benjamin Harrison,Thomas Jefferson,1776-02-13
501,Charles Thomson, President of Pennsylvania Committee of Safety,1776-02-13
502,Richard Smith,Diary,1776-02-13
503,John Adams,Mrs. Adams,1776-02-13
504,John Penn,Thomas Person,1776-02-14
505,Richard Smith,Diary,1776-02-14
506,Richard Smith,Diary,1776-02-15
507,Richard Smith,Diary,1776-02-16
508,Robert Alexander, Maryland Council of Safety,1776-02-16
509,Richard Smith,Diary,1776-02-17
510,John Adams,James Warren,1776-02-18
511,Oliver Wolcott,Samuel Lyman,1776-02-19
512,Richard Smith,Diary,1776-02-19
513,John Hancock,Charles Lee,1776-02-19
514,Richard Smith,Diary,1776-02-20
515,John Hancock,Philip Schuyler,1776-02-20
516,Richard Smith,Diary,1776-02-21
517,Richard Smith,Diary,1776-02-22
518,James Duane,Notes of Debates,1776-02-22
519,Richard Smith,Diary,1776-02-23
520,James Duane, New York Convention,1776-02-25
521,Maryland Delegates, Maryland Council of Safety,1776-02-25
522,Benjamin Franklin,Proposed Resolve,1776-02-26
523,Richard Smith,Diary,1776-02-26
524,Samuel Adams,Mrs. Adams,1776-02-26
525,Richard Smith,Diary,1776-02-27
526,Robert Alexander, Maryland Council of Safety,1776-02-27
527,Eliphalet Dyer,Joseph Trumbull,1776-02-28
528,Richard Smith,Diary,1776-02-28
529,Richard Smith,Diary,1776-02-29
530,James Duane,Lord Stirling,1776-03-01
531,John Hancock,Lord Stirling,1776-03-01
532,John Hancock,Charles Lee,1776-03-01
533,Richard Smith,Diary,1776-03-01
534, Secret Committee,Silas Deane,1776-03-01
535,533- William Whipple,Meshech Weare,1776-03-02
536, Committee of Secret Correspondence,Silas Deane,1776-03-02
537, Committee of Secret Correspondence,Silas Deane,1776-03-03
538,Richard Smith,Diary,1776-03-05
539,Josiah Bartlett,John Langdon,1776-03-05
540,A. George Read,Caesar Rodney,1776-03-06
541,Richard Smith,Diary,1776-03-06
542,John Hancock,George Washington,1776-03-06
543,John Hancock,Philip Schuyler,1776-03-07
544,Richard Smith,Diary,1776-03-07
545,Richard Smith,Diary,1776-03-08
546,Oliver Wolcott,Matw Griswold,1776-03-09
547,Oliver Wolcott,Mrs. Wolcott,1776-03-09
548,Maryland Delegates, Maryland Council of Safety,1776-03-09
549,Richard Smith,Diary,1776-03-11
550,Richard Smith,Diary,1776-03-12
551,Richard Smith,Diary,1776-03-13
552,William Hooper,Joseph Trumbull,1776-03-13
553,Richard Smith,Diary,1776-03-14
554,John Hancock,Colonel Shea,1776-03-14
555,John Hancock,Colonel Magaw,1776-03-14
556,John Hancock,Colonel Irvine,1776-03-14
557,John Hancock,Colonel Dayton,1776-03-14
558,New York Delegates, New York Convention,1776-03-15
559,John Hancock, New York Convention,1776-03-15
560,John Hancock,Lord Stirling,1776-03-15
561,Richard Smith,Diary,1776-03-15
562,Matw Tilghman, Maryland Council of Safety,1776-03-16
563,Richard Smith,Diary,1776-03-16
564,John Hancock,Duncan Campbell,1776-03-16
565,Richard Smith,Samuel Tucker,1776-03-16
566,Oliver Wolcott,Samuel Lyman,1776-03-16
567,Andrew Allen,Philip Schuyler,1776-03-17
568,Richard Smith,Diary,1776-03-18
569,Richard Smith,Diary,1776-03-19
570,Oliver Wolcott,Mrs. Wolcott,1776-03-19
571,Maryland Delegates, Maryland Council of Safety,1776-03-19
572,Richard Smith,Diary,1776-03-20
573,Joseph Hewes,Samuel Johnston,1776-03-20
574, Maryland Delegates, Maryland Council of Safety,1776-03-20
575,Richard Smith,Diary,1776-03-21
576,John Adams,James Warren,1776-03-21
577,Charles Thomson,Note,1776-03-22
578,Richard Smith,Diary,1776-03-22
579,John Jay,Alexander McDougall,1776-03-23
580,John Adams,Horatio Gates,1776-03-23
581,William Whipple,Josiah Bartlett,1776-03-24
582,Richard Smith,Diary,1776-03-25
583,Richard Henry Lee,Charles Lee,1776-03-25
584,Richard Smith,Diary,1776-03-26
585,Elbridge Gerry,James Warren,1776-03-26
586,Joseph Hewes,Samuel Johnston,1776-03-26
587,Richard Smith,Diary,1776-03-28
588,John Adams,Mrs. Adams,1776-03-29
589,Richard Smith,Diary,1776-03-29
590,Samuel Huntington,Joseph Trumbull,1776-03-30
591,Richard Henry Lee,Charles Lee,1776-04-01
592,John Adams,George Washington,1776-04-01
593,John Adams,James Warren,1776-04-02
594,Samuel Adams,Joseph Palmer,1776-04-02
