id	 Agents for Vermont
182	Benjamin Walker
183	Beverley Randolph
184	Board of Admiralty
185	Board of Treasury
186	Board of War
187	Brigadier-General Scott
188	Caesar A. Rodney
189	Caesar Rodney
190	Caleb Camp
191	Caleb Davis
192	Caleb Strong
193	Captain Bell
194	Captain de Luziere
195	Captain Josiah
196	Captain Pierce
197	Carter Braxton
198	Certain States
199	Certain Traders
200	Certificate
201	Chairman of Congress (David Ramsay)
202	Charles Biddle
203	Charles Carroll
204	Charles Carroll of Carrollton
205	Charles Chauncy
206	Charles Cotesworth Pinckney
207	Charles Lee
208	Charles Mynn Thruston
209	Charles Pettit
210	Charles Pinckney
211	Charles Preston
212	Charles Thomson
213	Charles W. F. Dumas
214	Chevalier Duportail
215	Chief of the Winnebago
216	Chiefs of  Potawatomi
217	Christian 02iger
218	Christopher Ellery
219	Christopher Richmond
220	Civil Magistrates and Military Officers at Gallipolis
221	Colonel Cox
222	Colonel Darke
223	Colonel Davics
224	Colonel Dayton
225	Colonel Gouvion
226	Colonel Irvine
227	Colonel Magaw
228	Colonel Pettit
229	Colonel Sargent
230	Colonel Shea
231	Colonel Sproat
232	Comfort Sands
233	Comm.ittee at Headquarters
234	Commercial Committee
235	Commitlee at Headquarters
236	Committee at Headquarters
237	Committee in Philadelphia
238	Committee of Arrangement
239	Committee of CoiiRress
240	Committee of Commerce
241	Committee of Conference
242	Committee of Congress
243	Committee of Correspondence
244	Committee of Foreign Affairs
245	Committee of Foreign Afifairs
246	Committee of Intelligence
247	Committee of Kentucky
248	Committee of Philadelphia
249	Committee of Secret Correspondence
250	Committee on Commissary and Quartermaster's Departments
251	Committee Report
252	Communication to Public
253	Comte d'Estaing
254	Congress
255	Connecticut Delegates
256	Conrad Alexandre Gerard
257	Continental Congress
258	Convention of Virginia
259	Cornelius Harnett
260	Council of Maryland
261	Council of Pennsylvania
262	County Lieutenants
263	Cyrus Griffin
264	Daniel Brodhead
265	Daniel Carroll
266	Daniel Manton
267	Daniel Mowry
268	Daniel of St. Thomas Jenifer
269	Daniel of St. Thomas Jenifer 
270	Daniel Roberdeau
271	David Espy and Ors
272	David Gelston
273	David Howell
274	David Lyster
275	David Ramsay
276	David Ross
277	David Shepherd
278	David Wooster
279	Delegates of North Carolina
280	Diary
281	Diego Joseph Navarro
282	Draft of Instructions
283	Draft of Manifesto respecting Henry Laurens
284	Duncan Campbell
285	Dyre Kearny
286	Ebenezer Elmer
287	Ebenezer Hazard
288	Ebenezer Thompson
289	Ebenezer Zane
290	Edmimd Randolph
291	Edmund M. Butler
292	Edmund Pendleton
293	Edmund Randolph
294	Edmutid Randolph
295	Edward Abbott
296	Edward Biddle
297	Edward Carrington
298	Edward Hand
299	Edward Langworthy
300	Edward Pullen
301	Edward Rutledge
302	Edward Telfair
303	Egbert Benson
304	Elbridge Gerry
305	Elias Boudinot
306	Elias Dayton
307	Eliphalet Dyer
308	Elisha Boudinot
309	Elisha Paine
310	Engagement of Members
311	Ensign Tillinghast
312	Ephraim Blaine
313	Esek Hopkins
314	Estevan Miro
315	Evan Baker
316	Evert Bancker
317	Examination of William Carmichael
318	Executive Council of Virginia
319	Eximund Pendleton
320	Ezekiel Cornell
321	Ezekiel Williams
322	Ezra L'Hommedieu
323	Ezra Stiles
324	Fox Indians
325	Francis Bailey
326	Francis Dana
327	Francis Eppes
328	Francis Huger
329	Francis Johnston
330	Francis Lewis
331	Francis Lightfoot Lee
332	Frederick Frelinghuysen
333	French Inhabitants
334	Gabriel Cerre
335	Garret Van Meter
336	General Butler
337	General Gage
338	General Steuben
339	Geoffrey Linctot
340	George Brinker
341	George Brj'an
342	George Bryan
343	George Clinton
344	George Clymer
345	George Frost
346	George Galphin
347	George Ginton
348	George Handley
349	George Howell
350	George Johnstone
351	George Mason
352	George Maws
353	George Meriwether
354	George Mitchell
355	George Moorehead
356	George Morgan
357	George Nicholas
358	George Ointon
359	George Partridge
360	George Plater
361	George Plater 
362	George Qinton
363	George Read
364	George Rogers Clark
365	George Ross
366	George Slaughter
367	George Thatcher
368	George W^ashington
369	George Walton
370	George Washington
371	George Webb
372	George Weedon
373	George Wythe
374	Georgia Delegates
375	GeorRC Washington
376	Gerard
377	Gouverneur Morris
378	Governor Gayoso
379	Governor of Virginia
380	Governor Shelby
381	Grant of Land
382	Gunning Bedford sr.
383	Gurdon Saltonstall
384	Gustave d'Ugglaa
385	Guy Carleton
386	H. Perrault
387	Hall
388	Heads of Inquiry as to State of Army
389	Henjamin Rush
390	Henry Acthandt
391	Henry Gardner
392	Henry Hamilton
393	Henry Knox
394	Henry Laurens
395	Henry Lee
396	Henry Lee jr.
397	Henry Marchant
398	Henry St. George Tucker
399	Henry Ward
400	Henry Wisner
401	Hezekiah Smith
402	Horatio Gates
403	House of Delegates
404	Hugh Williamson
405	Inhabitants of Boonesborough
406	Inhabitants of Kentucky
407	Inhabitants of Monongalia County
408	Inhabitants of the west side of the Ohio River
409	Inhabitants of Vincennes
410	Isaac B. Dunn
411	Isaac Craig
412	Isaac Hite
413	Isaac Motte
414	Israel Ludlow
415	Israel Putnam
416	Israel riitiiani
417	J. G. Jones    
418	J. M. P. Le Gras
419	J. P. Le Gras
420	Jabez Huntington
421	Jacob Christopher Zahn
422	Jacob Read
423	Jacob Wales
424	James Bowdoin
425	James Caldwell
426	James Duane
427	James Forbes
428	James Gardoqui
429	James Graham
430	James Henry
431	James Hogg
432	James Iredell
433	James Jackson
434	James Lovell
435	James Lowell
436	James Madison
437	James Madison jr.
438	James Madison sr.
439	James Manning
440	James McHenry
441	James McLene
442	James Mease
443	James Mercer
444	James Mitchell Varnum
445	James Monroe
446	James Mott
447	James Nicholson
448	James Otis
449	James Patten
450	James Randolph Reid
451	James Searle
452	James Shelby
453	James Sullivan
454	James Sykes
455	James Warren
456	James White
457	James Wilkinson
458	James Willing
459	James Wilson
460	James Young
461	Janus Caldwell
462	Jared Ingersoll
463	Jasper Yeates
464	Jean B. Laffont
465	Jean Baptiste du Coigne
466	Jean Baptiste Lazarus veneau de Francy
467	Jean de Kermovan
468	Jean Girault
469	Jehu Hay
470	Jeremiah Powell
471	Jeremiah Powrell
472	Jeremiah van Rensselaer
473	Jeremiah Wadsworth
474	Jesse Brown
475	Jesse Root
476	Jethro Sumner
477	Joel Barlow
478	John Adams
479	John Adams 
480	John Alsop
481	John Armstrong
482	John Armstrong jr.
483	"John Armstrong, Jr. "
484	John Augustine Washington
485	John Avery
486	John B. Roy
487	John Bailey
488	John Banister
489	John Baptiste Ashe
490	John Bayard
491	John Beatty
492	John Beckley
493	John Bowman
494	John Bradford
495	John Brown
496	John Burgoyne
497	John Cadwalader
498	John Campbell
499	John Carter
500	John Choate
501	John Clark
502	John Cochran
503	John Collins
504	John Cray Blount
505	John Davis
506	John Dawson
507	John Dickinson
508	John Dodge
509	John Donne
510	John Doughty
511	John Eager Howard
512	John Emerson
513	John Fell
514	John Floyd
515	John Gibson
516	John Gray Blount
517	John Hall
518	John Hancock
519	John Hanson
520	John Hart
521	John Harvie
522	John Haslet
523	John Henry
524	John Henry jr.
525	John Hite
526	John Houstoun
527	John Jay
528	John Jones
529	John Kean
530	John Langdon
531	John Lanpdoti
532	John Laurens
533	John Lawrence
534	John Lewis Gervais
535	John Lowell
536	John Matthews
537	John Maws
538	John McDowell 
539	John McKesson
540	John McKinley
541	John Mehelm
542	John Montgomery
543	John Morgan
544	John Morin Scott
545	John Morton
546	John Nicholson
547	John Nixon
548	John Page
549	John Parke (Philopatros Philales)
550	John Penn
551	John Pickering
552	John Rogers
553	John Rutledge
554	John Scollay
555	John Stark
556	John Stevens
557	John Sullivan
558	John Swann
559	John Taliaferro
560	John Taylor Gilman
561	John Thomas
562	John Todd
563	John Trumbull
564	John Tyler
565	John Vining
566	John Walker
567	John Wendell
568	John Wentworth jr.
569	John Williams
570	John Winthrop
571	John Wirspoon
572	John Witherspoon
573	Jolin Hancock
574	Jonathan Arnold
575	Jonathan Bayard Smith
576	Jonathan Blanchard
577	Jonathan Clark
578	Jonathan Elmer
579	Jonathan Jackson
580	Jonathan Potts
581	Jonathan Sturges
582	Jonathan Trumbull
583	Jonathan Trumbull jr.
584	Jonathan Trumbull sr.
585	Joseph Bowman
586	Joseph Cesirre
587	Joseph Clay
588	Joseph Crockett
589	Joseph Frye
590	Joseph Galloway
591	Joseph Hawkey
592	Joseph Hawley
593	Joseph Hewes
594	Joseph Hunter
595	Joseph Jones
596	Joseph Martin
597	Joseph Palmer
598	Joseph Piatt Cooke
599	Joseph Priestley
600	Joseph Reed
601	Joseph Spencer
602	Joseph Trumbull
603	Joseph Wanton
604	Joseph Warren
605	Joshua Coit
606	Joshua Huntington
607	Josia Beall
608	Josiah Bartlett
609	Josiah Bartlett 
610	Josiah Harmar
611	Josiah Hartlctt
612	Josiah Hornblower
613	Josiah Quincy
614	Josiah Rartlett
615	Judge Addison
616	Judge McMillan
617	Judge Parsons
618	Judge Symmes
619	Judge Symmes 
620	Judge Turner
621	Judge Varnum
622	Judges
623	Judges of Hamilton County
624	Judges Symmes and Turner
625	Justin Ely
626	Kentucky County Commissioners
627	Kentucky County-lieutenants
628	Klhrid Kcderry
629	Kliphalet Dyer
630	label
631	Lachlan Mcintosh
632	Lambert Cadwalader
633	Land Grants
634	Landon Carter
635	Leighton Wood
636	Leonard Helm
637	Levi Todd
638	Lewis Morris
639	Lewis Pintard
640	Lieutenant Denny
641	Lord Howe
642	Lord Stirling
643	Louis Fleury
644	Luke Decker
645	Luzerne
646	Major Cracraft
647	Major Ferguson
648	Major Hamtramck
649	Major Murray
650	Major Wythellys
651	Mann Page jr.
652	Marine Committee
653	Marinus Willett
654	Marquis de Lafayette
655	Maryland
656	Maryland Delegates
657	Mason Bolton
658	Massachusetts Delegates
659	Matthew Griswold
660	Matthew Locke
661	Matthew Thornton
662	Matthew Tilghman
663	Medical Committee
664	Meet Punctually etc.
665	Member of Congress
666	Memoranda
667	Memorandum
668	Memorandum of Conference with Gerard
669	Memorial to Congress
670	Mercy Warren
671	Meriwether Smith
672	Meschech Weare
673	Meshech Weare
674	Militia
675	Ministar of War
676	Minute
677	Minutes
678	Minutes of Debates
679	Minutes of Proceedings
680	Miss Mercy Scollay
681	Monsieur Aycard
682	Moore Furman
683	Mordecai Gist
684	Moses Brown
685	Moses Gill
686	Motion
687	Mrs. Abigail Adams
688	Mrs. Boudinot
689	Mrs. Cushing
690	Mrs. Deane
691	Mrs. Duane
692	Mrs. Elizabeth Dana
693	Mrs. Gates
694	Mrs. Hancock
695	Mrs. Izard
696	Mrs. McKean
697	Mrs. Read
698	Mrs. Reed
699	Mrs. Rodney
700	Mrs. Susannah Connolly
701	Mrs. Wolcott
702	Nanaloibi
703	Nathan Brownson
704	Nathan Dane
705	Nathan Miller
706	Nathanacl Greene
707	Nathanael Greene
708	Nathaniel Folsom
709	Nathaniel Gorham
710	Nathaniel Greene
711	Nathaniel Mitchell
712	Nathaniel Peabody
713	Nathaniel Ramsey
714	Nathaniel Scudder
715	Nathaniel Wcodhull
716	Nathaniel Woodhull
717	Natlianiel Peabody
718	New Hampshire Delegates
719	New Jersey Delegates
720	New York Delegates
721	Nicholas Cooke
722	Nicholas Eveleigh
723	Nicholas Gilman
724	Nicholas Thomas
725	Nicholas Van Dyke
726	North Carolina Delegates
727	Note
728	Note on Franklin's Articles of Confederation
729	Notes
730	Notes for RMarks
731	Notes of Debates
732	Notes of Proceedings
733	Notes on Articles of Confederation
734	Notes on Burgoyne's Letter to Gates
735	Notes on his Letter of Resignation
736	Notes on Measure for Half-Pay
737	Notes on State of Colonies
738	Observations
739	Officers of Berkley County
740	Officers of Greenbrier County
741	Officers of Pennsylvania and Virginia
742	Oliver Ellsworth
743	Oliver Pollock
744	Oliver Tollock
745	Oliver Wolcott
746	Oliver Wolcott jr.
747	One of Virginia Delegates
748	Order of Council of Virginia
749	P. Gibault
750	Paine Wingate
751	Part of a Speech in Congress upon Confederation
752	Patrick Henry
753	Paul Jones
754	Paul Revere
755	Peleg Arnold
756	Pennsylvania Delegates
757	Pennsylvania Delegates to U.S. Congress
758	People of Illinois
759	People of Kaskaskia
760	Peter Grubb
761	Peter Muhlenberg
762	Peter T. Curtenius
763	Peter Thacher
764	Peter Wilson
765	Petition of French Magistrates
766	Petition of Inhabitants of Boonesborough
767	Petition of Inhabitants of Bryan's Station
768	Philip Liebert
769	Philip Livingston
770	Philip Mazzei
771	Philip Schujder
772	Philip Schuyler
773	Phillips White
774	Pierce Butler
775	Pierpont Edwards
776	Pierre Dorion
777	Pierre Etienne Duponceau
778	Pierre Prevost
779	Pierre Van Cortlandt
780	Pierse Long
781	President of Congress (Cyrus Griffin)
782	President of Congress (Elias Boudinot)
783	President of Congress (John Hanson)
784	President of Congress (Thomas McKean)
785	Proceedings
786	Proceedings and Observations of Committee of Finance
787	Proposal for Treaty with Great Britain
788	Proposed Amendment
789	Proposed Amendments to Constitution
790	Proposed Entry in Journals
791	Proposed Land Grant
792	Proposed Motion
793	Proposed Report
794	Proposed Resolution
795	Proposed Resolutions
796	Proposed Resolve
797	Proposed Resolves
798	Propositions before Committee on Rights
799	Propositions for Treaty of Peace
800	Qement Nash
801	R. B. Lernoult
802	R. K. Meade
803	Ralph Izard
804	Rawlins Lowndes
805	Registration of Land Grant
806	Remarks
807	Reminiscences
808	Report
809	Report on Memorial for General Montgomery
810	Report to Provincial Congress
811	Resolution
812	Resolution proposed in Committee on Rights
813	Rev. James Cogswell
814	Rhode Island Delegates
815	Richard Bache
816	Richard Brashers
817	Richard Butler
818	Richard Butler and Arthur Lee
819	Richard Caswell
820	Richard Caswrll
821	Richard Claiborne
822	Richard Dallam
823	Richard Dobbs Spaight
824	Richard Flenry Lee
825	Richard Harrison
826	Richard Henry Lee
827	Richard Howly
828	Richard Jackson
829	Richard Law
830	Richard Lee
831	Richard Lee 
832	Richard McCarty
833	Richard Montgomery
834	Richard Peters
835	Richard Potts
836	Richard Smith
837	Richard Varick
838	Richard Winn
839	Robert Alexander
840	Robert Burton
841	Robert Christie
842	Robert George
843	Robert Howe
844	Robert Montgomery
845	Robert Morris
846	Robert Purviance
847	Robert R. Livingston
848	Robert Todd
849	Robert Treat Paine
850	Roderique Hortales and Company
851	Roger Alden
852	Roger Sherman
853	Rufus King
854	Rufus Putnam
855	S. P. Eve
856	Samuel Adams
857	Samuel Adams Wells
858	Samuel Alleyne Otis
859	Samuel Brown
860	Samuel Chase
861	Samuel Cooper
862	Samuel H. Parsons
863	Samuel Hardy
864	Samuel Himtington
865	Samuel Hodgdon
866	Samuel Hoi ten
867	Samuel Holden Parsons
868	Samuel Holten
869	Samuel Hughes
870	Samuel Huntington
871	Samuel John Atlee
872	Samuel Johnston
873	Samuel Jones
874	Samuel Lane
875	Samuel Livermore
876	Samuel Llolten
877	Samuel Lyman
878	Samuel McDowell
879	Samuel Meredith
880	Samuel Osgood
881	Samuel Phillips
882	Samuel Phillips Savage
883	Samuel Purviance
884	Samuel Purviance jr.
885	Samuel Tucker
886	Samuel Ward
887	Samuel Wharton
888	Samuel William Johnson
889	Secret Committee
890	Secretary of State
891	Secretary of the Treasury
892	Sellers
893	Silas Dayton
894	Silas Deane
895	Silas Martin
896	Sir James Jay
897	Soldiers
898	South Caroh'na Delegates
899	South Carolina Delegates
900	Speaker of the House of Delegates
901	Speech
902	Speech before New Jersey Assembly
903	Speech in Congress
904	Speech on Convention with Burgoyne
905	Speech on Finances
906	Speech on Loan-Office Certificates
907	Statement
908	Statement relative to his plan of Union
909	Statement to a Committee of House of Commons
910	Stephen Drayton
911	Stephen Higginson
912	Stephen Hopkins
913	Stephen Mix Mitchell
914	Stephen Sayre
915	Stephen Ward
916	Sundry Printers
917	Tapping Reeve
918	Tench Coxe
919	the Board of War
920	the Governor of Virginia
921	Theoderick Bland
922	Theodore Sedgwick
923	Theodorick Bland
924	Theophilus Parsons
925	Thomas Bee
926	Thomas Blount
927	Thomas Bradford
928	Thomas Burke
929	Thomas Carder Hazard
930	Thomas Chittenden
931	Thomas Collins
932	Thomas Cushing
933	Thomas Dwight
934	Thomas Fitzsimmons
935	Thomas Gushing
936	Thomas Harwood
937	Thomas Heyward jr.
938	Thomas Hurke
939	Thomas Ivers
940	Thomas Jefferson
941	Thomas Johnson
942	Thomas Johnson jr.
943	Thomas Lee Shippen
944	Thomas Lynch
945	Thomas McKean
946	Thomas Mifflin
947	Thomas Morris
948	Thomas Mumford
949	Thomas Nelson
950	Thomas Nelson jr.
951	Thomas Person
952	Thomas Pinckney
953	Thomas Polk
954	Thomas Powell
955	Thomas Quirk
956	Thomas Rodney
957	Thomas Rurke
958	Thomas Sim Lee
959	Thomas Sim Lee 
960	Thomas Sinnickson
961	Thomas Smith
962	Thomas Stone
963	Thomas Walker
964	Thomas Waring
965	Thomas Wharton jr.
966	Thomas Willing
967	Thomas Wirke
968	Thomas Wliarton jr.
969	Timothy Bloodworth
970	Timothy Danielson
971	Timothy Edwards
972	Timothy Matlack
973	Timothy Pickering
974	Timothy Pickering 
975	Titus Hosmer
976	Tobias Lear
977	Treasurer of Virginia
978	Trustees at Fort Jefferson
979	Turbutt Wright
980	Udny Hay
981	unknown
982	Vicomte de Mauroy
983	Virginia Assembly
984	Virginia Delegates
985	Virginia Delegates in Congress
986	Virginia State Auditors
987	Walter Livingston
988	Walter Livingston 
989	Weedon Butler
990	Welcome Arnold
991	Whitmill Hill
992	William Alexander
993	William Augustus Atlee
994	William Aylett
995	William Bailey Smith
996	William Barton
997	William Bingham
998	William Blount
999	William Bradford 
1000	William Bruff
1001	William Carmichael
1002	William Churchill Houston
1003	William Cooper
1004	William Croghan
1005	William Cumming
1006	William Cushing
1007	William Duer
1008	William Ellcry
1009	William Ellery
1010	William EUery
1011	William Few
1012	William Fleming
1013	William Floyd
1014	William Franklin
1015	William Glascock
1016	William Grayson
1017	William Green
1018	William Greene
1019	William Gumming
1020	William Harrison
1021	William Harrod
1022	William Heath
1023	William Henry Drayton
1024	William Heth
1025	William Hindman
1026	William Hooper
1027	William Hunt
1028	William Irvine
1029	William Judd
1030	William Knox
1031	William Lee
1032	William Livingston
1033	William Malcom
1034	William Maxwell
1035	William Mayo
1036	William McGilivry
1037	William Moore
1038	William Moultrie
1039	William Myers
1040	William Paca
1041	William Palfrey
1042	William Phillips
1043	William Pierce
1044	William Pitkin
1045	William Plumer
1046	William Preston
1047	William Samuel Johnson
1048	William Shannon
1049	William Sharpe
1050	William Shippen
1051	William Shippen jr.
1052	William Short
1053	William Smallwood
1054	William Smith
1055	William St. Clair
1056	William Thomson
1057	William Tokeley
1058	William Tudor
1059	William Vernon
1060	William Washington
1061	William Whipple
1062	William Wilkinson
1063	William Williams
1064	William Woodford
1065	Willie Jones
1066	Winthrop Sargent
1067	Woodbury Langdon
1068	Zabdiel Adams
1069	Zebulon Butler
