Henrj' Laurens,John Laurens,Mar. 3  1778
Henry Laurens,the Marquis de Lafayette,Mar. 4  1778
Gouverneur Morris,George Clinton,Mar. 4  1778
William Duer,Robert Morris,Mar. 5  1778
The Committee of Conference,Minutes,Mar. 5-7  1778
Henry Laurens,John Burgoyne,Mar. 6  1778
John Henry jr.,to Thomas Johnson jr.,Mar. 6. 1778
Oliver Wolcott,Mrs. Wolcott,Mar. 6 1778
John Penn,Robert Alorris,Mar. 6 1778
The Committee of Conference,George Washington,Mar. 6 1778
Henry- Laurens,the Marquis de Lafayette,Mar. 6 1778
Henry Laurens,Samuel Adams,Mar. 7  1778
Henry Laurens,the Marquis de Lafayette,Mar. 7  1778
The Committee of Conference,Minutes,Mar. 8-12 1778
The Committee of Conference,George Washington,Mar. 9 1778
James Lovell,Samuel Adams,Mar. 10  1778
Eliphalet Dyer,Jeremiah Wadsworth,Mar. 10  1778
Eliphalet Dyer,William Williams,Mar. 10  1778
John Henry jr.,to Thomas Johnson,jr.. Mar. 10  1778
Jonathan Bayard Smith,Thomas Wharton jr.,Mar. 10  1778
Jonathan Bayard Smith,James Young,Mar. n 124 1778
Henry Laurens,John Rutledge,Mar. 11  1778
Eliphalet Dyer,Jonathan Trumbull,Mar. 12  1778
Henry Laurens,Jonathan Trumbull jr.,Mar. 12  1778
Thomas Burke,Richard Caswell,Mar. 12  1778
James Duane,George Ginton,Mar. 13  1778
Henry Laurens,the Marquis de Lafayette,Mar. 13  1778
Jonathan Bayard Smith,Thomas Warton,j r.,Mar. 16  1778
The Committee of Conference,George Clinton,Mar. 16  1778
William Ellery,William Vernon,Mar. 16  1778
John Henry jr.,to Nicholas Thomas,Mar. 17  1778
Cornelius Harnett,William Wilkinson,Mar. 18  1778
A Committee of Congress,Thomas Wharton jr.,Mar. 18  1778
Daniel Roberdeau,Thomas Wharton,jr.. Mar. 19 1778
Jonathan Bayard Smith,Thomas Wharton jr.,Mar. 19 1778
Henry Laurens,Egbert Benson,Mar. 20  1778
James Lovell,Samuel Adams,Mar. 20 1778
Cornelius Harnett,Richard Caswell,Mar. 20 1778
Henry Laurens,George Washington,Mar. 21  1778
James Lovell,Samuel Adams,Mar. 23  1778
The Virginia Delegates,Patrick Henry,Mar. 23  1778
Henry Laurens,Baron de Kalb,Mar. 24  1778
Henry Laurens,the Marquis de Lafayette,Mar. 24  1778
Henry Laurens,the Marquis de Lafayette,Mar. 24  1778
Henry Laurens,George Clinton,Mar. 24  1778
James Forbes,Thomas Johnson jr.,Mar. 24  1778
Henry Laurens,William Heath,Mar. 25  1778
Henry Laurens,George Clymer,Mar. 27  1778
Henry Laurens,the Marquis de Lafayette,Mar. 27  1778
Elbridge Gerry,Jeremiah Powell,Mar. 28 S 1778
Abraham Qark,Jeremiah Wadsworth,Mar. 29  1778
Henry Laurens,John Laurens,Mar. 29  1778
Henry Laurens,George Washington,Mar. 30  1778
Francis Lightfoot Lee,George Weedon,Mar. 31  1778
Cornelius Harnett,Jethro Sumner,Apr. 1 1778
Thomas McKean,George Read,Apr. 3  1778
Henry Laurens,George Washington,Apr. 4  1778
William Ellery,Nicholas Cooke,Apr. 5  1778
Henry Laurens,Horatio Gates,Apr. 6  1778
Henry Laurens,Robert Morris,Apr. 6  1778
Henry Laurens,James Duane,Apr. 7  1778
Henry Laurens,Note on Proposed Plan of Settlement with Roderique Hortales and Company,Apr. 7 1778
A Committee of Congress,Benjamin Rush,Apr. 7  1778
Henry Laurens,George Washington,Apr. 8  1778
Henry Laurens,Philip Schuyler,Apr. 8  1778
Henry Laurens,George Morgan,Apr. 9  1778
Thomas Burke,Richard Caswell,Apr. 9  1778
Henry Laurens,John Laurens,Apr. 9  1778
Francis Lewis,Pierre Van Cortlandt,Apr. 10  1778
William Duer,Robert Morris,Apr. 12  1778
Engagement of Members,Meet Punctually etc.,Apr. 12  1778
James Lovell,Joseph Trumbull,Apr. 13  1778
Henry Laurens,George Washington,Apr. 14  1778
Oliver Wolcott,Mrs. Wolcott,Apr. 14  1778
The Committee of Foreign Affairs,William Bingham,Apr. 16  1778
Jonathan Bayard Smith,Thomas Wharton jr.,Apr. 16  1778
John Banister,George Washington,Apr. 16  1778
Henry Laurens,James Duane,Apr. 17  1778
James Lovell,Samuel Adams,Apr. 18  1778
Gouverneur Morris,George V/ashington,Apr. 18  1778
James Lovell,Samuel Adams,Apr. 19  1778
Henry Laurens,William Livingston,Apr. 19  1778
Samuel Chase,Thomas Johnson jr.,Apr. 20  1778
John Henry jr.,to Thomas Johnson jr.,Apr. 20  1778
The Virginia Delegates,Patrick Henry,Apr. 21  1778
Charles Carroll of Carrollton,Thomas Johnson jr.,Apr. 21  1778
Henry Laurens,Notes on Measure for Half-Pay,Apr. 21  1778
Henry Laurens,William Aylett,Apr. 22  1778
Charles Carroll of Carrollton,Thomas Johnson jr.,Apr. 23  1778
Henry Laurens,Patrick Henry,Apr. 24  1778
John Henry jr.,to Thomas Johnson jr.,Apr. 24  1778
Henry Laurens,John Penn,Apr. 24  1778
Henry Laurens,William Smallwood,Apr. 24  1778
Oliver Wolcott,Mrs. Wolcott,Apr. 25  1778
William Ellery,Nicholas Cooke,Apr. 25  1778
Thomas Burke,Richard Caswell,Apr. 25  1778
John Mathews,Thomas Bee,Apr. 26  1778
Henry Laurens,George Washington,Apr. 27  1778
Henry Laurens,George Washington,Apr. 27 1778
Henry Laurens,William Livingston,Apr. 27  1778
Henry Laurens,Richard Caswell,Apr. 27  1778
Thomas Burke,Henry Laurens,Apr. 28  1778
Henry Laurens,John Laurens,Apr. 28  1778
Henry Laurens,Louis Fleury,Apr. 28  1778
Henry Laurens,Henry Lee,Apr. 28  1778
Thomas McKean,Caesar Rodney,Apr. 28  1778
Henry Laurens,Jacob Christopher Zahn,Apr. 28  1778
Gouverneur Morris,John Jay,Apr. 28  1778
Thomas Burke,the North Carolina Assembly,Apr. 29  1778
The Connecticut Delegates,Jonathan Trumbull,Apr. 29  1778
Thomas Burke,Richard Caswell,Apr. 29  1778
Henry Laurens,Thomas Burke,Apr. 30  1778
The New York Delegates,George Clinton,Apr. 30  1778
Henry Laurens,George Washington,Apr. 30  1778
Proposal for Treaty with Great Britain,Apr. 30 (?) 207 1778
The Committee of Foreign Affairs,the Commissioners at Paris,Apr. 30 1778
Henry Laurens,Francis Bailey,Apr. 30  1778
Henry Laurens,Rawlins Lowndes,May 1 209 1778
Roger Sherman,Jonathan Trumbull,May 1 212 1778
Gouverneur Morris,George Washington,May 1 1778
William Henry Drayton,Motion,May 1 1778
Oliver Wolcott,Mrs. Wolcott,May 2  1778
Henry Laurens,John Lewis Gervais,May 3  1778
Henry Laurens,George Washington,May 3  1778
Henry Laurens,George Washington,May 3  1778
The Virginia Delegates,Patrick Henry,May 3  1778
William Ellery,Nicholas Cooke,May 3  1778
Samuel Chase,Thomas Johnson jr.,May 3  1778
Gouverneur Morris,John Jay,May 3  1778
Robert Morris,William Bingham,May 5  1778
Henry Laurens,George Washington,May 5  1778
Henry Laurens,Baron Steuben,May 5  1778
William Ellery,William Vernon,May 6  1778
Henry Laurens,William Livingston,May 6  1778
Henry Laurens,Thomas Johnson jr.,May 8 1778
Henry Laurens,James Mease,May 8  1778
Oliver Wolcott,Mrs. Wolcott,May 9  1778
Henry Laurens,Meshech Weare,May 11  1778
Henry Laurens,Baron Steuben,May 11  1778
Henry Laurens,Pierre Etienne Duponceau,May 11  1778
Henry Laurens,John Laurens,May 11  1778
Henry Laurens,the Marquis de Lafayette,May 11  1778
Gouverneur Morris,Robert Morris,May 11  1778
Richard Henry Lee,Arthur Lee,May 12  1778
Richard Henry Lee,John Adams,May 13  1778
Henry Laurens,Samuel Alleyne Otis,May 13  1778
The Committee of Foreign Affairs,the Commissioners at Paris,May 14 1778
The Committee of Foreign Affairs,William Lee,May 14  1778
The Committee of Foreign Affairs,Ralph Izard,May 14 1778
The Committee of Foreign Affairs,Arthur Lee,May 14  1778
The Committee of Foreign Affairs,William Bingham,May 14  1778
The Board of War,William Augustus Atlee,May 14  1778
William Ellery,unknown,May 14  1778
Henry Laurens,George Washington,May 15  1778
The Committee of Foreign Affairs,the Commissioners at Paris,May 15 1778
James Lovell,Benjamin Franklin,May 15  1778
The Committee of Commerce,the Commissioners at Paris,May 16  1778
Henry Laurens,Lachlan Mcintosh,May 16  1778
Thomas McKean,Mrs. McKean,May 16  1778
Henry Laurens,John Laurens,May 16  1778
William Duer,Horatio Gates,May 16  1778
A Committee of Congress,Thomas Johnson jr.,May 16  1778
Henry Laurens,Rawlins Lowndes,May 17  1778
Henry Laurens,the Marquis de Lafayette,May 17  1778
Henry Laurens,David Espy and Others,May 17  1778
Henry Laurens,William Moultrie,May 18  1778
Oliver Wolcott,Jonathan Trumbull jr.,May 18  1778
William Ellery,William Greene,May 18  1778
The Connecticut Delegates,Jonathan Trumbull,May 18  1778
Samuel Huntington,Joseph Trumbull,May 19  1778
Richard Henry Lee,Arthur Lee,May 19  1778
The Board of War,George Washington,May 19  1778
The Committee of Foreign Affairs,Jesse (?) Brown,May 19  1778
Henry Laurens,George Washington,May 20  1778
Gouverneur Morris,George Washington,May 21  1778
Gouverneur Morris,George Washington,May 22, 261 1778
Henry Laurens,George Washington,May 25  1778
James Lovell,William Whipple,May 25  1778
Henry Laurens,Baron Steuben,May 25  1778
Henry Laurens,John Stark,May 25  1778
Samuel Adams,James Warren,May 25  1778
Josiah Bartlett,Meshech Weare,May 27  1778
Gouverneur Morris,George Washington,May 27  1778
Henry Laurens,Philip Schuyler,May 28  1778
Henry Laurens,Baron Steuben,May 29  1778
Henry Laurens,the Marquis de Lafayette,May 29  1778
Henry Laurens,William Augustus Atlee,May 29  1778
Daniel Roberdeau,George Bryan,May 30  1778
Henry Laurens,the IMarquis de Lafayette,May 31  1778
William Ellery,William Whipple,May 31  1778
Henry Laurens,Rawlins Lowndes,June i 270 1778
Samuel Adams,James Warren,June i 271 1778
Henry Laurens,John Rutledge,June 3  1778
Henry Laurens,Baron Steuben,June 4  1778
Henry Laurens,the Marquis de Lafayette,June 4  1778
Henry Laurens,John Laurens,June 5  1778
Oliver Wolcott,Mrs. Wolcott,June 5  1778
Henry Laurens,Jonathan Trumbull,June 5  1778
Henry Laurens,George Washington,June 5  1778
The Board of War,William Augustus Atlee,June 5  1778
Thomas McKean,William Augustus Atlee,June 5  1778
Richard Henry Lee,Draft of a Letter,Lord Howe,June 6  1778
Henry Laurens,George Washington,June 6  1778
Daniel Roberdeau,George Bryan,June 6  1778
The Rhode Island Delegates,William Greene,June 8  1778
Henry Laurens,George Washington,June 8  1778
Thomas McKean,Mrs. McKean,June 9  1778
Gouverneur Morris,George Washington,June 9  1778
James Lovell,Horatio Gates,June 9  1778
John Wentworth jr.,to John Langdon,June 10  1778
Henry Laurens,Richard Caswell,June 11  1778
Francis Dana,George Washington,June 1 1 286 1778
Henry Laurens,Rawlins Lowndes,June 12  1778
Henry Laurens,Philip Schuyler,June 12  1778
Josiah Bartlett,Nathaniel Folsom,June 12  1778
Henry Laurens,Horatio Gates,June 13  1778
Henry Laurens,Patrick Henry,June 13  1778
The Massachusetts Delegates,Jeremiah Powell,June 13  1778
Samuel Adams,James Warren,June 13  1778
Henry Laurens,John Laurens,June 13  1778
Henry Laurens,George Washington,June 14  1778
Henry Laurens,Proposed Letter,George Johnstone,June 14  1778
The New Hampshire Delegates,Meshech Weare,June 15  1778
Robert iMorris,Gouverneur Morris,June 16  1778
Richard Henry Lee,Thomas Jefferson,June 16  1778
Charles Thomson,Memorandum,June 16  1778
Richard Henry Lee,Draft of Letter,the British Commissioners,June 16 1778
John Witherspoon,Proposed Letter,the British Commissioners,June 17 1778
Henry Laurens,Horatio Gates,June 17  1778
Henry Laurens,Horatio Gates,June 17  1778
Henry Laurens,John Laurens,June 17  1778
Thomas McKean,Caesar Rodney,June 17  1778
Thomas McKean,Mrs. McKean,June 17  1778
Henry Laurens,George Washington,June 18  1778
James Lovell,Horatio Gates,June 18  1778
Henry Laurens,Horatio Gates,June 19  1778
Henry Laurens,the Marquis de Lafayette,June 19  1778
Samuel Adams,James Warren,June 19  1778
Samuel Holten,Diary,June 19-20 1778
Henry Laurens,George Washington,June 20  1778
Henry Laurens,William Heath,June 20  1778
Samuel Adams,James Warren,June 20  1778
Richard Henry Lee,John Adams,June 20  1778
John Hancock,Mrs. Hancock,June 20  1778
Henry Laurens,Philip Schuyler,June 20  1778
Josiah Bartlett,William Whipple,June 20  1778
Oliver Wolcott,Mrs. Wolcott,June 20  1778
The Rhode Island Delegates,William Greene,June 20  1778
Henry Laurens,Joseph Reed,June 21  1778
The Committee of Foreign Affairs,the Commissioners at Paris,June 21 1778
Samuel Holten,Diary,June 21-22 1778
Henry Laurens,John Houstoun,June 22  1778
The Maryland Delegates,Thomas Johnson jr.,and the Assembly of Maryland,June 22  1778
Gouverneur Morris,John Jay,June 23  1778
Henry Laurens,Rawlins Lowndes,June 23  1778
Richard Henry Lee,Thomas Jefferson,June 23  1778
Gouverneur Morris,George Qinton,June 22, 317 1778
Samuel Holten,Diary,June 23-25 317 1778
Henry Laurens,William Heath,June 26  1778
Samuel Holten,Diary,June 26, 27 318 1778
The Rhode Island Delegates,William Greene,June 27  1778
Henry Laurens,Rawlins Lowndes,June 27  1778
John Hancock,Mrs. Hancock,July 1 1778
Samuel Holten,Diary,July 1 1778
Samuel Adams,Samuel Phillips Savage,July 3  1778
Samuel Chase,Thomas Johnson jr.,July 4  1778
Samuel Holten,Diary,July 4-6 1778
Henry Laurens,George Washington,July 7  1778
Thomas McKean,William Augustus Atlee,July 7  1778
John Mathews,John Rutledge,July 7  1778
Samuel Holten,Diary,July 8-9 1778
Samuel Adams,Mrs. Adams,July 9  1778
Henry Laurens,Horatio Gates,July 10  1778
Samuel Holten,Diary,July 10-11 1778
Henry Laurens,George Washington,July 11  1778
Henry Laurens,Meshech Weare,July 12  1778
Richard Henry Lee,Francis Lightfoot Lee,July 12  1778
Samuel Holten,Diary,July 13  1778
Nathaniel Scudder,John Hart,July 13  1778
Josiah Bartlett,John Langdon,July 13  1778
James Lovell,William Whipple,July 14  1778
Elias Boudinot,Mrs. Boudinot,July 14  1778
Henry Marchant,John Carter,July 14  1778
Henry Marchant,William Greene,July 14  1778
Samuel Adams,James Warren,July 14  1778
Samuel Adams,James Warren,July 15  1778
Henry Laurens,Rawlins Lowndes,July 15  1778
Henry Laurens,John Lewis Gervais,July 15  1778
John Penn,Richard Caswell,July 15  1778
Henry Laurens,William Livingston,July 17  1778
Henry Laurens,George Washington,July 18  1778
Henry Laurens,William Livingston,July 18  1778
Henry Laurens,John Houstoun,July 18  1778
Henry Laurens,the Marquis de Lafayette,July 18  1778
Samuel Holten,Diary,July 18  1778
Gouverneur Morris,Proposed Resolves,July 18 1778
Samuel Adams,James Warren,July 20  1778
Josiah Bartlett,William Whipple,July 20  1778
Josiah Bartlett,Meshech Weare,July 20  1778
Richard Henry Lee,Thomas Jefferson,July 20  1778
Samuel Holten,Diary,July 20, 21 343 1778
The New York Delegates,George Qinton,July 21  1778
A Committee of Congress,Report,July 344 1778
The New York Delegates,Proposed Resolutions,July 345 1778
Joseph Reed,Mrs. Reed,July 21  1778
John Penn,Richard Caswell,July 21  1778
Andrew Adams,Oliver Wolcott,July 22  1778
Henry Laurens,Richard Caswell,July 23  1778
Jonathan Elmer,Ebenezer Elmer,July 23  1778
Henry Laurens,Patrick Henry,July 24  1778
Samuel Holten,Diary,July 23-26 1778
Henry Laurens,Patrick Henry,July 26  1778
Henry Laurens,Jean Baptiste Lazarus Theveneau de Francy,July 26 1778
Josiah Bartlett,William Whipple,July 27  1778
Richard Henry Lee,Francis Lightfoot Lee,July 27  1778
Samuel Adams,James Warren,July 27  1778
Henry Laurens,William Heath,July 30  1778
Roger Sherman,Jonathan Trumbull jr.,July 30  1778
Henry Laurens,George Washington,July 31  1778
Elias Boudinot,Reminiscences,July 31  1778
Gouverneur Morris,George Washington,Aug. 2  1778
Henry Marchant,William Greene,Aug. 3  1778
Josiah Bartlett,Meshech Weare,Aug. 4  1778
Henry Laurens,Rawlins Lowndes,Aug. 5  1778
Samuel Holten,Diary,Aug. 5-6 1778
A Committee of Congress,the Pennsylvania Council,Aug. 6  1778
Samuel Holten,Diary,Aug. 7  1778
Henry Laurens,Benedict Arnold,Aug. 7  1778
Elias Boudinot,Mrs. Boudinot,Aug. 8  1778
Samuel Holten,Diary,Aug. 8  1778
Andrew Adams,Oliver Wolcott,Aug. 10  1778
Richard Henry Lee,Thomas Jefferson,Aug. 10  1778
Andrew Adams,Jonathan Trumbull,Aug. 11  1778
Titus Hosmer,Jonathan Trumbull,Aug. 11  1778
Henry Marchant,the Rhode Island Assembly,Aug. 11  1778
Samuel Adams,Peter Thacher,Aug. 11  1778
Samuel Chase,Thomas Johnson,j r.,Aug. 11  1778
Henry Laurens,Rawlins Lowndes,Aug. 11  1778
Samuel Holten,Diary,Aug. 12-13 1778
Samuel Chase,Thomas Johnson jr.,Aug. 14  1778
Samuel Holten,Diary,Aug. 14-15 1778
Henry Laurens,John Sullivan,Aug. 16  1778
Joseph Reed,Mrs. Reed,Aug. 16  1778
Gouverneur Morris,John Jay,Aug. 16  1778
Gouverneur Morris,Robert R. Livingston,Aug. 17  1778
Andrew Adams,Samuel Lyman,Aug. 17 1778
Josiah Bartlett,John Langdon,Aug. 18  1778
Josiah Bartlett,William Whipple,Aug. 18  1778
George Plater,Thomas Johnson jr.,Aug. 18  1778
Samuel Holten,Diary,Aug. 19-21 1778
Henry Laurens,William Livingston,Aug. 21  1778
The New York Delegates,George Clinton,Aug. 21  1778
Henry Laurens,the Chevalier de Laneuville,Aug. 23  1778
Henry Laurens,James Graham,Aug. 23  1778
Samuel Holten,Diary,Aug. 24-25 1778
Cornelius Harnett,Richard Caswell,Aug. 27 1778
Cornelius Harnett,Thomas Burke,Aug. 27 1778
Henry Laurens,John Houstoun,Aug. 27  1778
Samuel Holten,Diary,Aug. 27-28 1778
Henry Laurens,George Washington,Aug. 28  1778
Henry Laurens,George Washington,Aug. 28  1778
Henry Laurens,John Sullivan,Aug. 28  1778
Richard Henry Lee,William Maxwell,Aug. 29  1778
Andrew Adams,Horatio Gates,Aug. 29  1778
Andrew Adams,Oliver Wolcott,Aug. 29  1778
James Lovell,Horatio Gates,Aug. 29  1778
Henry Laurens,George Washington,Aug. 29  1778
John Mathews,Thomas Bee,Aug. 30  1778
Gouverneur Morris,George Washington,Aug. 31  1778
Titus Hosmer,Jonathan Trumbull,Aug. 31  1778
John Penn,William Woodford,Aug. 31 1778
Samuel Adams,James Warren,Sept. 1 1778
Samuel Holten,Diary,Sept. 1-4 1778
Samuel Adams,James Bowdoin,Sept. 3  1778
John Witherspoon to ,Sept. 3  1778
Richard Henry Lee,George Bryan,Sept. 4  1778
Henry Laurens,John Beatty,Sept. 4  1778
Henry Laurens,William Maxwell,Sept. 5  1778
Richard Henry Lee,Arthur Lee,Sept. 6  1778
Samuel Holten,Diary,Sept. 7  1778
John Penn,Richard Caswell,Sept. 7  1778
William Henry Drayton,John Laurens,Sept. 7  1778
Josiah Bartlett,Meshech Weare,Sept. 8  1778
Robert Morris,James Duane,Sept. 8  1778
Samuel Holten,Diary,Sept. 9  1778
John Laurens,Comte d'Estaing,Sept. 10  1778
Henry Laurens,Rawlins Lowndes,Sept. 10  1778
The Committee of Arrangement,Theoderick Bland,Sept. 11  1778
Samuel Holten,Diary,Sept. 12  1778
Josiah Bartlett,William Whipple,Sept. 12  1778
Henry Marchant,John Sullivan,Sept. 12  1778
Henry Laurens,John Cadwalader,Sept. 12  1778
Henry Laurens,William Smith,Sept. 12  1778
Samuel Adams,James Warren,Sept. 12  1778
Samuel Adams,Samuel Phillips Savage,Sept. 14  1778
Henry Laurens,Rawlins Lowndes,Sept. 15  1778
Francis Lewis,Thomas Johnson jr.,Sept. 15  1778
John Harvie,Thomas Jefferson,Sept. 15  1778
Cornelius Harnett,Richard Caswell,Sept. 15  1778
Richard Henry Lee,Arthur Lee,Sept. 16  1778
John Witherspoon,William Churchill Houston,Sept. 16  1778
Samuel Holten,Diary,Sept. 16 1778
Henry Laurens,Baron Steuben,Sept. 17  1778
Henry Laurens,Memorandum,Sept. 18  1778
Henry Laurens,Proposed Resolve,Sept. 18 1778
James Lovell,Horatio Gates,Sept. 18 1778
Cornelius Harnett,Thomas Burke,Sept. 19  1778
Samuel Adams,John Bradford,Sept. 21  1778
Josiah Bartlett,John Langdon,Sept. 21  1778
John Mathews,Thomas Bee,Sept. 22  1778
Gouverneur Morris,Robert R. Livingston,Sept. 22  1778
Henry Laurens,George Washington,Sept. 23  1778
The Marine Committee,Jonathan Trumbull,Sept. 25  1778
Samuel Holten,Diary,Sept. 25  1778
Andrew Adams,Jonathan Trumbull,Sept. 26  1778
Henry Laurens,Jonathan Trumbull,Sept. 26  1778
