Id,indegree,outdegree,Degree,clustering,componentnumber,strongcompnum,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,weighted indegree,weighted outdegree,Weighted Degree
Judge Parsons,0,1,1,0,0,87,6,0.326648,0.371491,0,0,1,1
Paul Jones,0,1,1,0,0,88,6,0.326648,0.371491,0,0,1,1
P. Gibault,0,1,1,0,0,89,6,0.326648,0.371491,0,0,1,1
Chevalier Duportail,0,1,1,0,0,90,6,0.326648,0.371491,0,0,1,1
Colonel Gouvion,0,1,1,0,0,91,6,0.326648,0.371491,0,0,1,1
Joel Barlow,0,1,1,0,0,92,6,0.326648,0.371491,0,0,2,2
Judges Symmes and Turner,0,1,1,0,0,93,6,0.326648,0.371491,0,0,1,1
Captain de Luziere,0,1,1,0,0,94,6,0.326648,0.371491,0,0,1,1
Lieutenant Denny,0,1,1,0,0,95,7,0.25618,0.286195,0,0,1,1
Colonel Sargent,0,1,1,0,2,97,1,1,1,0,0,1,1
Major Ferguson,0,1,1,0,0,98,6,0.326648,0.371491,0,0,1,1
Tobias Lear,0,1,1,0,0,99,6,0.326648,0.371491,0,0,1,1
Rufus Putnam,0,1,1,0,0,100,7,0.252772,0.278885,0,0,1,1
William Bradford,0,1,1,0,3,102,1,1,1,0,0,1,1
Governor Gayoso,0,1,1,0,0,103,6,0.326648,0.371491,0,0,1,1
John B. Roy,0,1,1,0,0,104,1,1,1,0,0,1,1
Inhabitants of Kentucky,0,1,1,0,4,106,1,1,1,0,0,1,1
J. G. Jones and George Rogers Clark,0,1,1,0,5,108,1,1,1,0,0,1,1
Order of Council of Virginia,0,1,1,0,0,109,5,0.31405,0.353216,0,0,1,1
William Bailey Smith,0,1,1,0,0,110,5,0.31405,0.353216,0,0,2,2
Edward Abbott,0,1,1,0,0,111,1,1,1,0,0,1,1
"Gabriel Cerre """,0,1,1,0,0,112,5,0.31405,0.353216,0,0,1,1
H. Perrault,0,1,1,0,0,113,5,0.31405,0.353216,0,0,1,1
Joseph Cesirre,0,1,1,0,0,114,5,0.31405,0.353216,0,0,1,1
Joseph Bowman,0,5,5,0,0,119,5,0.321526,0.375141,0,0,6,6
James Willing,0,1,1,0,0,120,5,0.31405,0.353216,0,0,2,2
John Bowman,0,1,1,0,0,121,5,0.31405,0.353216,0,0,2,2
Executive Council of Virginia,0,2,2,0.5,0,123,5,0.315934,0.358841,0,0,2,2
David Lyster,0,1,1,0,6,125,1,1,1,0,0,1,1
Alexander Macomb,0,2,2,0,0,127,2,0.75,0.833333,0,0,2,2
James Patten,0,1,1,0,0,128,5,0.31405,0.353216,0,0,1,1
Robert George,0,5,5,0.25,0,129,5,0.318436,0.372222,0,0,6,6
Richard Brashers,0,1,1,0,0,130,5,0.31405,0.353216,0,0,1,1
Clark,0,1,1,0,7,132,1,1,1,0,0,1,1
William Shannon,0,4,4,0.166667,0,136,5,0.32493,0.378736,0,0,4,4
John Page,0,1,1,0,0,137,6,0.244111,0.267105,0,0,1,1
Thomas Quirk,0,2,2,0.5,0,138,5,0.316804,0.36029,0,0,2,2
John Beckley,0,1,1,0,0,139,5,0.31405,0.353216,0,0,1,1
James Shelby,0,1,1,0,0,140,5,0.31405,0.353216,0,0,2,2
Robert Todd,0,1,1,0,0,141,5,0.31405,0.353216,0,0,1,1
Benjamin Logan,0,1,1,0,0,142,5,0.31405,0.353216,0,0,1,1
Levi Todd,0,1,1,0,0,143,5,0.31405,0.353216,0,0,1,1
George Meriwether,0,1,1,0,0,144,5,0.31405,0.353216,0,0,1,1
Grant of Land,0,1,1,0,0,145,5,0.31405,0.353216,0,0,1,1
Registration of Land Grant,0,1,1,0,0,146,5,0.31405,0.353216,0,0,1,1
Pierre Prevost,0,1,1,0,0,147,5,0.31405,0.353216,0,0,1,1
Inhabitants of Boonesborough,0,1,1,0,0,148,5,0.31405,0.353216,0,0,1,1
Petition of Inhabitants of Boonesborough,0,1,1,0,0,149,5,0.31405,0.353216,0,0,1,1
Petition of Inhabitants of Bryan's Station,0,1,1,0,0,150,5,0.31405,0.353216,0,0,1,1
Charles Mynn Thruston,0,1,1,0,0,151,5,0.31405,0.353216,0,0,1,1
Petition of French Magistrates,0,1,1,0,0,152,5,0.31405,0.353216,0,0,1,1
Land Grants,0,1,1,0,8,154,1,1,1,0,0,1,1
Battist,0,1,1,0,0,155,5,0.31405,0.353216,0,0,1,1
Pierre Dorion,0,1,1,0,0,156,5,0.31405,0.353216,0,0,1,1
Trustees at Fort Jefferson,0,1,1,0,0,157,5,0.31405,0.353216,0,0,1,1
Proposed Land Grant,0,1,1,0,0,158,5,0.31405,0.353216,0,0,1,1
J. M. P. Le Gras,0,2,2,0,0,159,5,0.315789,0.359064,0,0,3,3
Richard McCarty,0,1,1,0,0,160,6,0.244111,0.267105,0,0,1,1
John Williams,0,1,1,0,0,161,5,0.31405,0.353216,0,0,1,1
Richard Harrison,0,1,1,0,0,162,5,0.31405,0.353216,0,0,1,1
John Gibson,0,2,2,0.5,0,163,5,0.37013,0.398246,0,0,11,11
General Steuben,0,1,1,0,0,164,5,0.31405,0.353216,0,0,1,1
Officers of Berkley County,0,1,1,0,0,165,6,0.247289,0.275877,0,0,1,1
Officers of Greenbrier County,0,1,1,0,0,166,6,0.247289,0.275877,0,0,1,1
Garret Van Meter,0,1,1,0,0,167,6,0.247289,0.275877,0,0,1,1
James Sullivan,0,1,1,0,0,168,5,0.31405,0.353216,0,0,2,2
John Floyd,0,2,2,1,0,169,5,0.321127,0.367836,0,0,7,7
Joseph Hunter,0,1,1,0,0,170,5,0.31405,0.353216,0,0,1,1
Richard Peters,0,1,1,0,0,171,5,0.31405,0.353216,0,0,1,1
John Bailey,0,1,1,0,0,172,7,0.201058,0.221575,0,0,1,1
William Croghan,0,1,1,0,9,174,1,1,1,0,0,1,1
Arthur Campbell,0,1,1,0,0,175,5,0.31405,0.353216,0,0,1,1
Kentucky County-lieutenants,0,1,1,0,0,176,5,0.31405,0.353216,0,0,1,1
